curr_state	curr_action	next_reward	next_state
1094	1	0	1087
1087	0	0	1207
1207	0	0	1327
1327	1	0	1440
1440	-1	0	1575
1575	1	0	1688
1688	-1	0	1823
1823	1	0	1936
1936	1	0	1937
1937	0	0	1945
1945	-1	0	1952
1952	-1	0	1959
1959	-1	0	1950
1950	0	0	1942
1942	-1	0	1933
1933	1	0	1798
1798	0	0	1798
1798	1	0	1799
1799	0	0	1927
1927	-1	0	1926
1926	-1	0	1925
1925	-1	0	1796
1796	0	0	1668
1668	0	0	1540
1540	1	0	1413
1413	-1	0	1284
1284	0	0	1156
1156	-1	0	1027
1027	-1	0	906
906	0	0	914
914	0	0	922
922	1	0	931
