state	action
0	1
1	1
2	1
3	1
4	1
5	1
6	1
7	1
11	1
12	1
13	1
14	1
15	1
20	1
21	1
22	1
28	1
29	1
55	1
62	1
64	-1
65	1
66	1
67	1
68	1
69	1
70	0
71	1
75	1
76	1
77	1
78	1
84	1
85	1
86	0
92	1
93	1
111	1
118	1
120	1
121	1
122	1
123	1
124	1
125	1
126	0
127	-1
128	1
129	-1
138	1
147	1
168	1
184	-1
199	0
202	1
211	1
224	-1
239	1
246	1
249	1
250	1
251	1
252	1
257	0
264	1
297	-1
319	1
352	0
359	1
378	1
379	1
393	0
432	1
472	0
480	-1
518	1
519	1
529	1
561	0
575	1
582	1
600	-1
615	0
640	1
645	1
666	0
674	-1
681	0
688	1
697	-1
711	1
717	1
718	1
735	0
751	-1
758	1
769	1
773	0
794	0
802	0
810	-1
817	0
824	1
832	0
844	1
847	1
853	1
854	1
855	0
863	-1
870	1
878	0
886	0
893	1
900	1
906	1
915	-1
951	1
953	-1
958	1
960	0
963	1
972	0
975	1
980	1
982	1
989	1
1013	1
1020	1
1021	1
1024	1
1025	1
1026	-1
1027	-1
1028	0
1029	-1
1030	1
1031	1
1033	0
1064	1
1087	1
1089	1
1090	1
1091	1
1092	-1
1093	1
1094	1
1095	1
1099	1
1116	1
1117	1
1143	1
1144	1
1145	1
1146	1
1147	1
1148	1
1149	0
1150	1
1151	1
1152	1
1153	1
1162	-1
1169	0
1193	1
1200	1
1208	1
1226	1
1235	1
1244	1
1256	1
1264	1
1273	1
1274	1
1275	1
1281	1
1290	-1
1297	1
1305	1
1322	0
1329	1
1330	0
1337	1
1338	0
1346	0
1354	1
1363	1
1381	-1
1385	1
1390	-1
1393	1
1402	1
1403	0
1404	-1
1418	0
1426	0
1434	1
1442	1
1443	-1
1451	-1
1459	-1
1466	1
1474	1
1475	-1
1483	0
1517	0
1522	1
1525	1
1530	1
1531	1
1579	0
1612	-1
1644	1
1652	1
1670	1
1671	1
1699	0
1731	1
1740	0
1749	-1
1781	-1
1789	-1
1792	1
1797	1
1798	1
1799	1
1802	0
1810	1
1819	0
1847	1
1854	1
1860	-1
1868	0
1876	1
1903	1
1908	1
1910	1
1916	1
1920	1
1921	1
1922	1
1923	-1
1924	1
1925	1
1926	1
1927	1
1930	1
1931	-1
1939	0
1960	1
1961	1
1968	1
1969	1
1970	1
1976	1
1977	1
1978	1
1979	1
1983	1
1984	1
1985	1
1986	1
1987	1
1988	0
1989	1
1990	1
1991	1
1994	0
1995	1
2002	0
2010	0
2016	1
2017	1
2018	1
2024	1
2025	1
2026	1
2027	1
2032	1
2033	1
2034	0
2035	1
2039	1
2040	1
2041	1
2042	1
2043	1
2044	0
2045	1
2046	1
2047	1
